standardized_method_name,renamed_standardized_method_name
accessibility_induction,well_founded_induction
delta_count_measure,direct_measure
dependency_pairs,dependency_pairs
direct_measure,direct_measure
induction_argument,structural_induction
interpretation_argument,polynomial_interpretation
lexicographic_measure,lexicographic_measure
lpo,lpo
multiset_measure,multiset_measure
natural_number_interpretation,polynomial_interpretation
noetherian_induction,well_founded_induction
objection,objection_or_non_method
objection_or_non_method,objection_or_non_method
ordinal_interpretation,ordinal_interpretation
path_order_generic,path_order_generic
polynomial_interpretation,polynomial_interpretation
primitive_recursion,structural_descent
rpo,rpo
s_chain_depth_measure,direct_measure
s_count_measure,direct_measure
s_depth_measure,direct_measure
s_nesting_depth_measure,direct_measure
structural_descent,structural_descent
structural_induction,structural_induction
structural_recursion,structural_descent
subterm_criterion,dependency_pairs
tait_computability,tait_computability
third_argument_height_measure,direct_measure
weight_measure,direct_measure
